n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
1.000e+02	9.647e-03	4.297e-05	1.427e-02	8.104e-03	3.843e-03	1.344e-02	2.776e-17	0.000e+00	4.953e-10
2.000e+02	1.148e-02	4.297e-05	1.465e-02	9.525e-03	5.197e-03	1.424e-02	1.588e-07	2.776e-17	4.619e-01
3.000e+02	1.148e-02	4.297e-05	1.465e-02	9.691e-03	5.384e-03	1.424e-02	3.259e-01	2.658e-07	6.104e-01
4.000e+02	1.148e-02	4.297e-05	1.465e-02	1.144e-02	7.733e-03	1.783e-02	4.399e-01	4.265e-05	6.226e-01
5.000e+02	1.148e-02	4.297e-05	1.465e-02	1.308e-02	7.866e-03	1.834e-02	4.570e-01	2.565e-01	6.226e-01
6.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	8.203e-03	1.947e-02	4.494e-01	2.565e-01	5.691e-01
7.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	9.525e-03	2.203e-02	3.548e-01	2.156e-01	5.283e-01
8.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	9.525e-03	1.947e-02	4.736e-01	2.229e-01	5.653e-01
9.000e+02	1.148e-02	4.297e-05	1.465e-02	1.610e-02	9.525e-03	2.247e-02	3.501e-01	2.075e-01	5.283e-01
1.000e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.125e-02	2.203e-02	2.514e-01	1.965e-01	3.734e-01
1.100e+03	1.148e-02	4.297e-05	1.543e-02	1.438e-02	1.125e-02	1.947e-02	2.652e-01	1.965e-01	3.736e-01
1.200e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.125e-02	2.203e-02	2.652e-01	1.965e-01	3.736e-01
1.300e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.144e-02	2.203e-02	2.577e-01	1.965e-01	3.734e-01
1.400e+03	1.148e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	2.203e-02	2.577e-01	1.965e-01	3.734e-01
1.500e+03	1.148e-02	4.297e-05	1.543e-02	1.725e-02	1.125e-02	2.331e-02	2.699e-01	2.164e-01	3.736e-01
1.600e+03	1.148e-02	4.297e-05	1.543e-02	1.755e-02	1.250e-02	2.399e-02	2.848e-01	2.237e-01	3.757e-01
1.700e+03	1.148e-02	4.297e-05	1.543e-02	1.755e-02	1.250e-02	2.399e-02	2.848e-01	2.237e-01	3.757e-01
1.800e+03	1.148e-02	4.297e-05	1.543e-02	1.725e-02	1.250e-02	2.331e-02	2.848e-01	2.237e-01	3.757e-01
1.900e+03	1.148e-02	4.297e-05	1.543e-02	1.635e-02	1.228e-02	2.331e-02	2.699e-01	2.229e-01	3.736e-01
2.000e+03	1.148e-02	4.297e-05	1.543e-02	1.590e-02	1.125e-02	2.203e-02	2.848e-01	2.229e-01	3.736e-01
2.100e+03	1.162e-02	4.297e-05	1.571e-02	1.590e-02	1.125e-02	1.800e-02	2.848e-01	2.229e-01	3.645e-01
2.200e+03	1.162e-02	4.297e-05	1.571e-02	1.635e-02	1.167e-02	2.331e-02	2.848e-01	2.229e-01	3.645e-01
2.300e+03	1.162e-02	4.297e-05	1.571e-02	1.624e-02	1.167e-02	2.203e-02	2.848e-01	2.229e-01	3.645e-01
2.400e+03	1.162e-02	4.297e-05	1.543e-02	1.624e-02	1.167e-02	2.203e-02	2.954e-01	2.196e-01	3.645e-01
2.500e+03	1.162e-02	4.297e-05	1.543e-02	1.589e-02	1.125e-02	1.779e-02	2.954e-01	2.196e-01	3.645e-01
2.600e+03	1.162e-02	4.297e-05	1.571e-02	1.589e-02	1.125e-02	1.779e-02	3.192e-01	2.229e-01	3.736e-01
2.700e+03	1.162e-02	4.297e-05	1.571e-02	1.589e-02	1.125e-02	1.779e-02	3.192e-01	2.229e-01	3.736e-01
2.800e+03	1.148e-02	4.297e-05	1.543e-02	1.589e-02	1.125e-02	1.787e-02	3.335e-01	2.229e-01	3.757e-01
2.900e+03	1.148e-02	4.297e-05	1.543e-02	1.590e-02	1.125e-02	1.787e-02	3.335e-01	2.229e-01	3.736e-01
3.000e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	3.192e-01	2.237e-01	3.736e-01
3.100e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	3.080e-01	2.237e-01	3.645e-01
3.200e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	3.180e-01	2.466e-01	3.645e-01
3.300e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	3.173e-01	2.466e-01	3.645e-01
3.400e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	3.180e-01	2.311e-01	3.736e-01
3.500e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	3.180e-01	2.311e-01	3.736e-01
3.600e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	3.173e-01	2.311e-01	3.757e-01
3.700e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.688e-02	3.080e-01	2.237e-01	3.757e-01
3.800e+03	1.131e-02	4.297e-05	1.543e-02	1.446e-02	1.074e-02	1.688e-02	3.173e-01	2.237e-01	3.937e-01
3.900e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.074e-02	1.688e-02	3.180e-01	2.237e-01	4.004e-01
4.000e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.074e-02	1.688e-02	3.173e-01	2.229e-01	3.937e-01
