problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;me-hebbian-network;19;[2, 2];250;25000;25000;1.25080e+01;51;43;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;2.52873e-02;7.47733e-03
xor;me-hebbian-network;6;[2, 2];250;25000;25000;1.25130e+01;51;42;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;2.70276e-03;7.77116e-03
xor;me-hebbian-network;16;[2, 2];250;25000;25000;1.25360e+01;51;43;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;2.29372e-03;3.33110e-03
xor;me-hebbian-network;18;[2, 2];250;25000;25000;1.25110e+01;50;42;8;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.16069e-02;1.97918e-02
xor;me-hebbian-network;27;[2, 2];250;25000;25000;1.25230e+01;50;3;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;2.82876e-01;1.34712e-02
xor;me-hebbian-network;26;[2, 2];250;25000;25000;1.25220e+01;51;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;5.28922e-02;3.83430e-02
xor;me-hebbian-network;23;[2, 2];250;25000;25000;1.25320e+01;49;42;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;8.44317e-02;5.05969e-02
xor;me-hebbian-network;25;[2, 2];250;25000;25000;1.25340e+01;51;4;3;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;3.14831e-01;3.33814e-02
xor;me-hebbian-network;2;[2, 2];250;25000;25000;1.25340e+01;48;45;3;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.95878e-01;2.13012e-07
xor;me-hebbian-network;28;[2, 2];250;25000;25000;1.25440e+01;49;40;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.75590e-02;1.34828e-02
xor;me-hebbian-network;30;[2, 2];250;25000;25000;1.25400e+01;51;44;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;1.03884e-02;1.58943e-02
xor;me-hebbian-network;13;[2, 2];250;25000;25000;1.25380e+01;51;41;3;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;-5.93778e-03;1.45390e-02
