n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	2.497e-01	9.781e-02	5.000e-01	6.391e-01	4.149e-01	6.500e-01	4.000e-01	2.998e-01	5.000e-01
2.000e+02	1.938e-01	8.150e-02	5.000e-01	5.331e-01	1.000e-01	6.500e-01	3.998e-01	1.370e-01	5.000e-01
3.000e+02	1.499e-01	5.045e-02	3.340e-01	6.027e-01	3.999e-01	7.526e-01	4.000e-01	5.000e-02	5.000e-01
4.000e+02	1.957e-01	9.337e-02	4.165e-01	6.489e-01	4.000e-01	7.837e-01	3.999e-01	4.625e-02	5.000e-01
5.000e+02	1.687e-01	9.068e-02	4.187e-01	6.159e-01	3.972e-01	9.139e-01	2.687e-01	3.314e-02	5.000e-01
6.000e+02	1.506e-01	6.194e-02	3.241e-01	5.990e-01	4.005e-01	8.381e-01	2.500e-01	5.000e-02	5.000e-01
7.000e+02	1.767e-01	6.291e-02	3.369e-01	6.495e-01	4.998e-01	9.440e-01	2.500e-01	7.445e-03	5.000e-01
8.000e+02	1.548e-01	4.902e-02	3.344e-01	6.262e-01	3.940e-01	8.058e-01	1.981e-01	-5.000e-02	5.000e-01
9.000e+02	1.387e-01	6.282e-02	3.200e-01	6.065e-01	5.179e-02	8.487e-01	4.000e-01	5.000e-02	5.000e-01
1.000e+03	1.464e-01	5.005e-02	2.742e-01	6.495e-01	3.511e-01	9.470e-01	4.000e-01	1.000e-01	5.000e-01
1.100e+03	1.133e-01	4.522e-02	1.973e-01	6.048e-01	2.814e-01	8.107e-01	4.093e-01	9.998e-02	5.000e-01
1.200e+03	1.099e-01	4.621e-02	2.095e-01	5.984e-01	2.552e-01	8.089e-01	3.975e-01	9.998e-02	5.000e-01
1.300e+03	1.046e-01	4.597e-02	2.306e-01	6.163e-01	2.169e-01	8.107e-01	4.000e-01	9.998e-02	5.000e-01
1.400e+03	1.033e-01	3.844e-02	2.085e-01	5.522e-01	4.000e-01	7.376e-01	3.982e-01	1.000e-01	5.000e-01
1.500e+03	1.147e-01	3.857e-02	2.016e-01	6.213e-01	2.679e-01	7.343e-01	3.497e-01	9.998e-02	5.000e-01
1.600e+03	1.154e-01	4.022e-02	1.930e-01	5.523e-01	2.822e-01	8.177e-01	2.217e-01	5.000e-02	5.000e-01
1.700e+03	1.022e-01	4.966e-02	2.222e-01	5.327e-01	2.430e-01	7.397e-01	3.413e-01	2.943e-05	6.059e-01
1.800e+03	1.061e-01	4.270e-02	2.589e-01	5.192e-01	2.816e-01	7.045e-01	2.217e-01	-2.213e-05	5.000e-01
1.900e+03	1.038e-01	4.740e-02	2.064e-01	5.197e-01	2.662e-01	8.276e-01	2.500e-01	5.000e-02	7.504e-01
2.000e+03	1.125e-01	4.391e-02	2.081e-01	5.523e-01	2.829e-01	7.863e-01	2.217e-01	5.855e-03	6.500e-01
2.100e+03	1.146e-01	3.975e-02	2.121e-01	5.522e-01	2.918e-01	7.833e-01	2.217e-01	9.908e-02	6.500e-01
2.200e+03	1.287e-01	4.726e-02	2.067e-01	5.157e-01	1.992e-01	8.205e-01	3.000e-01	1.000e-01	7.504e-01
2.300e+03	1.103e-01	4.667e-02	1.948e-01	5.110e-01	2.646e-01	8.684e-01	2.217e-01	5.000e-02	7.504e-01
2.400e+03	9.133e-02	4.534e-02	2.135e-01	4.180e-01	1.588e-01	7.273e-01	2.500e-01	9.908e-02	6.500e-01
2.500e+03	9.889e-02	4.676e-02	2.074e-01	5.519e-01	2.649e-01	7.793e-01	2.217e-01	6.517e-02	6.741e-01
2.600e+03	1.110e-01	4.101e-02	2.405e-01	5.690e-01	2.869e-01	8.819e-01	2.500e-01	9.908e-02	6.683e-01
2.700e+03	1.150e-01	4.714e-02	2.163e-01	5.042e-01	2.650e-01	8.148e-01	2.500e-01	9.998e-02	6.500e-01
2.800e+03	1.042e-01	4.719e-02	2.515e-01	5.521e-01	2.768e-01	8.668e-01	3.000e-01	9.998e-02	7.504e-01
2.900e+03	9.874e-02	4.554e-02	2.127e-01	6.511e-01	3.502e-01	8.674e-01	3.000e-01	5.000e-02	6.962e-01
3.000e+03	1.281e-01	5.087e-02	2.028e-01	6.146e-01	2.650e-01	8.644e-01	3.000e-01	9.908e-02	7.504e-01
3.100e+03	1.182e-01	4.938e-02	1.953e-01	5.920e-01	2.714e-01	8.701e-01	3.500e-01	9.998e-02	7.504e-01
3.200e+03	1.311e-01	4.918e-02	2.047e-01	5.620e-01	2.815e-01	8.653e-01	3.000e-01	9.908e-02	7.504e-01
3.300e+03	1.099e-01	4.450e-02	2.379e-01	6.100e-01	3.080e-01	8.822e-01	2.059e-01	2.390e-03	7.604e-01
3.400e+03	1.067e-01	3.853e-02	2.368e-01	6.408e-01	2.702e-01	8.605e-01	2.217e-01	7.766e-02	8.609e-01
3.500e+03	1.141e-01	3.891e-02	2.065e-01	5.924e-01	3.573e-01	8.801e-01	2.217e-01	6.394e-03	7.504e-01
3.600e+03	9.954e-02	4.363e-02	2.138e-01	5.521e-01	2.770e-01	8.714e-01	2.325e-01	5.000e-02	7.504e-01
3.700e+03	1.106e-01	4.343e-02	2.146e-01	5.938e-01	3.665e-01	9.048e-01	2.217e-01	5.000e-02	7.504e-01
3.800e+03	1.075e-01	4.943e-02	2.224e-01	5.523e-01	3.609e-01	8.649e-01	2.399e-01	9.908e-02	7.504e-01
3.900e+03	1.062e-01	3.780e-02	2.090e-01	5.236e-01	3.288e-01	8.154e-01	2.001e-01	4.062e-02	9.441e-01
4.000e+03	1.180e-01	4.974e-02	2.034e-01	4.577e-01	3.228e-01	6.901e-01	2.217e-01	9.908e-02	7.504e-01
4.100e+03	1.029e-01	4.907e-02	2.033e-01	5.521e-01	3.413e-01	8.559e-01	4.500e-01	2.702e-03	9.997e-01
4.200e+03	1.090e-01	4.712e-02	1.999e-01	4.578e-01	2.904e-01	8.225e-01	2.001e-01	3.914e-03	9.997e-01
4.300e+03	1.118e-01	4.720e-02	2.028e-01	5.048e-01	3.228e-01	7.390e-01	2.325e-01	5.125e-02	9.997e-01
4.400e+03	1.049e-01	4.027e-02	2.453e-01	4.574e-01	3.156e-01	7.061e-01	4.500e-01	8.873e-03	9.997e-01
4.500e+03	1.373e-01	5.055e-02	2.059e-01	4.576e-01	3.127e-01	6.624e-01	3.693e-01	-6.422e-03	7.645e-01
4.600e+03	9.650e-02	3.846e-02	2.196e-01	4.322e-01	3.113e-01	6.720e-01	4.500e-01	4.865e-02	9.320e-01
