n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	3.417e-01	6.771e-02	4.592e-01	4.342e-01	2.740e-01	4.753e-01	2.503e-01	1.686e-01	5.894e-01
2.000e+02	2.950e-01	4.332e-02	4.287e-01	3.647e-01	2.383e-01	4.763e-01	4.040e-01	1.781e-01	5.475e-01
3.000e+02	2.950e-01	4.332e-02	4.287e-01	4.379e-01	2.478e-01	5.768e-01	3.522e-01	1.712e-01	4.812e-01
4.000e+02	2.950e-01	4.332e-02	4.287e-01	5.236e-01	4.242e-01	7.509e-01	3.771e-01	1.796e-01	5.122e-01
5.000e+02	9.642e-02	1.014e-02	4.287e-01	6.022e-01	4.365e-01	7.877e-01	3.800e-01	1.745e-01	5.256e-01
6.000e+02	9.642e-02	1.014e-02	4.287e-01	6.022e-01	4.379e-01	7.976e-01	4.262e-01	1.735e-01	5.256e-01
7.000e+02	9.642e-02	1.014e-02	4.287e-01	6.022e-01	4.423e-01	7.976e-01	3.771e-01	1.641e-01	5.256e-01
8.000e+02	9.642e-02	1.014e-02	4.287e-01	5.768e-01	4.379e-01	8.019e-01	2.540e-01	1.580e-01	5.498e-01
9.000e+02	9.642e-02	1.014e-02	4.287e-01	5.218e-01	4.327e-01	7.242e-01	3.716e-01	1.597e-01	5.498e-01
1.000e+03	9.642e-02	1.014e-02	4.287e-01	5.043e-01	4.272e-01	6.690e-01	3.111e-01	1.597e-01	5.498e-01
1.100e+03	9.642e-02	1.014e-02	4.287e-01	5.043e-01	4.327e-01	6.690e-01	4.172e-01	1.613e-01	7.149e-01
1.200e+03	9.642e-02	1.014e-02	4.287e-01	5.043e-01	4.342e-01	6.365e-01	4.262e-01	1.735e-01	8.078e-01
1.300e+03	9.642e-02	1.014e-02	4.287e-01	4.995e-01	4.342e-01	6.365e-01	6.449e-01	1.807e-01	8.400e-01
1.400e+03	9.642e-02	1.014e-02	4.287e-01	5.043e-01	4.272e-01	6.365e-01	5.498e-01	1.735e-01	8.386e-01
1.500e+03	9.642e-02	1.014e-02	3.644e-01	5.043e-01	4.266e-01	6.304e-01	5.498e-01	1.807e-01	8.405e-01
1.600e+03	9.642e-02	1.014e-02	3.644e-01	4.995e-01	4.266e-01	6.304e-01	7.807e-01	1.613e-01	9.074e-01
1.700e+03	9.642e-02	1.014e-02	4.287e-01	4.956e-01	4.242e-01	5.768e-01	7.822e-01	1.613e-01	9.074e-01
1.800e+03	1.302e-01	4.332e-02	4.528e-01	4.956e-01	4.242e-01	5.768e-01	7.807e-01	1.580e-01	9.467e-01
1.900e+03	1.302e-01	4.332e-02	4.528e-01	4.920e-01	4.165e-01	5.734e-01	5.869e-01	1.580e-01	9.467e-01
2.000e+03	1.302e-01	4.332e-02	4.528e-01	4.920e-01	4.165e-01	5.734e-01	5.869e-01	1.580e-01	9.074e-01
2.100e+03	1.302e-01	4.332e-02	4.528e-01	4.821e-01	4.165e-01	5.719e-01	6.597e-01	1.580e-01	8.833e-01
2.200e+03	1.302e-01	4.332e-02	4.528e-01	4.821e-01	4.165e-01	5.719e-01	7.797e-01	1.613e-01	9.640e-01
2.300e+03	1.302e-01	4.332e-02	4.528e-01	4.821e-01	4.165e-01	5.719e-01	5.869e-01	1.613e-01	8.792e-01
2.400e+03	1.302e-01	4.332e-02	4.287e-01	4.821e-01	4.165e-01	5.763e-01	5.869e-01	1.613e-01	8.792e-01
2.500e+03	1.302e-01	4.332e-02	4.287e-01	4.920e-01	4.242e-01	5.763e-01	4.946e-01	1.580e-01	8.399e-01
2.600e+03	1.302e-01	4.332e-02	4.528e-01	4.821e-01	4.165e-01	5.763e-01	4.452e-01	1.506e-01	8.399e-01
2.700e+03	1.302e-01	4.332e-02	4.528e-01	4.821e-01	4.165e-01	5.763e-01	4.452e-01	1.506e-01	8.386e-01
2.800e+03	1.302e-01	4.332e-02	4.528e-01	4.762e-01	4.266e-01	5.719e-01	4.452e-01	1.506e-01	8.386e-01
2.900e+03	2.950e-01	4.332e-02	4.528e-01	4.762e-01	4.266e-01	5.719e-01	5.258e-01	1.506e-01	7.857e-01
3.000e+03	2.950e-01	4.332e-02	4.528e-01	4.759e-01	4.242e-01	5.420e-01	4.452e-01	1.506e-01	7.857e-01
